product_href,img_url,Mfr_Part,Mfr,Availability,Price,Qty,Datasheet,Mount,Shape,Material ,Package,Series,Size,Product-Status,Efficiency-Type,Height Seated ,REACH_SVHC,RoHS_Status,Category,Subcategory,Name,Title,public_id
https://www.utmel.com/productdetail/puiaudioinc-as02008mrr-8578928,https://static.utmel.com/80dimg/puiaudioinc-as02008mrr-9855.jpg,AS02008MR-R,"PUI Audio, Inc.",3280,$5.241459,1,https://pdf.utmel.com/r/datasheets/puiaudio-as02008mrr-datasheets-7993.pdf,-,Round,"Polyester, Polyethylene Terephthalate (PET)",Tray,AS,0.787Dia 20.00mm,Active,Sound Pressure Level (SPL),0.118 3.00mm,No SVHC,ROHS3 Compliant,,,,,
https://www.utmel.com/productdetail/cuidevices-cms0401kl3x-8581441,https://static.utmel.com/80dimg/cuidevices-cms0401kl3x-1823.jpg,CMS0401KL-3X,CUI Devices,1212,$25.493160,1,https://pdf.utmel.com/r/datasheets/cuidevices-cms0401kl3x-datasheets-8639.pdf,-,"Round, Square Frame","Polyester, Polyethylene Terephthalate (PET)",Tray,CMS,1.579Lx1.579W 40.10mmx40.10mm,Active,Sound Pressure Level (SPL),0.571 14.50mm,-,RoHS Compliant,,,,,
https://www.utmel.com/productdetail/puiaudioinc-as03008mrr-8578655,https://static.utmel.com/80dimg/puiaudioinc-as03008mrr-9585.jpg,AS03008MR-R,"PUI Audio, Inc.",In Stock,,1,https://pdf.utmel.com/r/datasheets/puiaudio-as03008mrr-datasheets-7616.pdf,Base,-,Round,Nd-Fe-B,2010,AS,1.181Dia 30.00mm,82,5.1mm,-,Unknown,-,,,,
https://www.utmel.com/productdetail/puiaudioinc-as04008cor-8578708,https://static.utmel.com/80dimg/puiaudioinc-as04008cor-9638.jpg,AS04008CO-R,"PUI Audio, Inc.",6883,,1,https://pdf.utmel.com/r/datasheets/puiaudio-as04008cor-datasheets-7747.pdf,Panel,-,"Oval, Rectangular Frame",Nd-Fe-B,-,AS,1.575Lx0.787W 40.00mmx20.00mm,83,6.1mm,20mm,-,-,,,,
https://www.utmel.com/productdetail/knowles-sr6438nws000-8579011,https://static.utmel.com/80dimg/knowles-sr6438nws000-9937.jpg,SR6438NWS-000,Knowles,11022,,1,https://pdf.utmel.com/r/datasheets/knowles-sr6438nws000-datasheets-5972.pdf,External,-,Round,-,2012,SR,0.252Dia 6.40mm,109.5,4.14mm,-,-,-,,,,
https://www.utmel.com/productdetail/knowles-wbfk30019000-8578978,https://static.utmel.com/80dimg/knowles-wbfk30019000-9904.jpg,WBFK-30019-000,Knowles,In Stock,,1,https://pdf.utmel.com/r/datasheets/knowles-wbfk30019000-datasheets-5823.pdf,External,-,Rectangular,-,2010,WBFK,0.197Lx0.108W 5.00mmx2.73mm,91,1.98mm,-,-,-,,,,
https://www.utmel.com/productdetail/cuidevices-gc0251k-8578701,https://static.utmel.com/80dimg/cuidevices-gc0251k-9631.jpg,GC0251K,CUI Devices,1104,$128.304660,1,https://pdf.utmel.com/r/datasheets/cuidevices-gc0251k-datasheets-4152.pdf,-,"Oval, Rectangular Frame",Cloth,Tray,GC,0.984Lx0.551W 25.00mmx14.00mm,Active,Sound Pressure Level (SPL),0.205 5.20mm,-,RoHS Compliant,,,,,
https://www.utmel.com/productdetail/cuidevices-gf0401m-8578674,https://static.utmel.com/80dimg/cuidevices-gf0401m-9604.jpg,GF0401M,CUI Devices,3156,$4.674874,1,https://pdf.utmel.com/r/datasheets/cuidevices-gf0401m-datasheets-3966.pdf,-,Round,"Polyester, Polyethylene Terephthalate (PET)",Tray,GF,1.575Dia 40.00mm,Active,Sound Pressure Level (SPL),0.366 9.30mm,-,RoHS Compliant,,,,,
https://www.utmel.com/productdetail/cuidevices-gc0301k-8578880,https://static.utmel.com/80dimg/cuidevices-gc0301k-9808.jpg,GC0301K,CUI Devices,77090,$21.853120,1,https://pdf.utmel.com/r/datasheets/cuidevices-gc0301k-datasheets-5338.pdf,-,"Oval, Rectangular Frame",Cloth,Tray,GC,1.181Lx0.630W 30.00mmx16.00mm,Active,Sound Pressure Level (SPL),0.197 5.00mm,-,RoHS Compliant,,,,,
https://www.utmel.com/productdetail/puiaudioinc-as01308mr2r-8578952,https://static.utmel.com/80dimg/puiaudioinc-as01308mr2r-9878.jpg,AS01308MR-2-R,"PUI Audio, Inc.",In Stock,,1,https://pdf.utmel.com/r/datasheets/puiaudio-as01308mr2r-datasheets-8004.pdf,Base,-,Round,Nd,2008,AS,0.512Dia 13.00mm,85,3mm,-,No SVHC,-,,,,
